#FORMAT = x;y;color

#COLORS = 
#RED = 5 HP
#BLUE = 4 HP
#GREEN = 3 HP
#YELLOW = 2 HP
#PURPLE = 1 HP

#GRAY = UNBREAKABLE

#NEW BLOCK = \n

#BLOCK WIDTH = 40
#BLOCK HEIGHT = 24

360;264;RED
400;264;RED
360;240;RED
400;240;RED
360;216;RED
400;216;RED
360;192;RED
400;192;RED
360;168;RED
400;168;RED
360;144;RED
400;144;RED
360;120;RED
400;120;RED

320;96;RED
440;96;RED

280;72;RED
240;72;RED
480;72;RED
520;72;RED

200;96;RED
560;96;RED

320;240;RED
440;240;RED

280;216;RED
480;216;RED

240;192;RED
520;192;RED

200;168;RED
560;168;RED

200;144;RED
560;144;RED

200;120;RED
560;120;RED

280;96;RED
240;96;RED
480;96;RED
520;96;RED

320;120;RED
280;120;RED
240;120;RED
440;120;RED
480;120;RED
520;120;RED

320;144;RED
280;144;RED
240;144;RED
440;144;RED
480;144;RED
520;144;RED

320;168;RED
280;168;RED
240;168;RED
440;168;RED
480;168;RED
520;168;RED

320;192;RED
280;192;RED
440;192;RED
480;192;RED

320;216;RED
440;216;RED
